searchType,showId,stdShowId,showName,showDate,cityName,cityId,showStatus,minOriginalPrice,posterUrl,venueId,venueName,backendCategory,isFree,firstShowTime,lastShowTime,minOriginalPriceInfo,latestShowTime,showSessionDates,soldOut,sessionNum,seatPlanNum
SHOW,6433bb7f77228d0001745d51,6433bb7d7658ad0001584db4,【沈阳】【延期】向阳花·LIVE特别呈现—202S·Smile 沈阳站,2023.04.22 20:00,沈阳,2101,DELAY,158.0,https://bg.piaoxingqiu.cn/image/prod/20230410_53/16811119340801788.jpg,5e93d296a81bd0738de2a83b,原料库live house（红梅店）,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1682164800000,1682175600000,"{'yuanNum': '158', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1682164800000,['20230422'],False,1,2
SHOW,65f423f99519d700011ae9c8,65f423f86221bd0001745cc4,【银川】沉舟乐队【野风入夜】2024巡演 银川站,2024.05.25 20:30,银川,6401,ONSALE,98.0,https://cdn.ticketmars.com/prod/external/img/20240315/65f423d5ba3a760001077c82.jpg,5d5b881ac756b11e75793a9c,铜管Live House,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1716640200000,1716646200000,"{'yuanNum': '98', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1716640200000,['20240525'],False,1,3
SHOW,6621f4028b46140001879a3e,6621f400d18fc2000147943d,【郑州】南拳妈妈我回来了巡回演唱会郑州站,2024.08.02 20:00,郑州,4101,ONSALE,299.0,https://cdn.ticketmars.com/prod/external/img/20240419/6621f4016ec4760001b7acaa.jpg,60ab4970a81bd0478ae41b23,郑州橙空间,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1722600000000,1722607200000,"{'yuanNum': '299', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1722600000000,['20240802'],False,1,4
SHOW,6630c4a556b9f20001605e1d,6630c3fa56b9f2000160378f,【北京】北京 | 5.26「 Mr·Sun Fusion Band」 2024新专辑巡演,2024.05.26 20:00,北京,1101,ONSALE,180.0,https://cdn.ticketmars.com/image/prod/20240430_10/17144719493861858.png,585a2ab60cf2477fb36e1f96,Blue Note Beijing,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1716724800000,1716730200000,"{'yuanNum': '180', 'centNum': '', 'suffix': '', 'prefix': '￥'}",1716724800000,['20240526'],False,1,1
SHOW,662b3c7d8b4614000189f37d,662b3c7cae03db00010c3991,【北京】熊猫眼乐队「春日限定般的告白」2024巡演 北京站,2024.06.28 20:30,北京,1101,ONSALE,88.0,https://cdn.ticketmars.com/prod/external/img/20240426/662b3c7cb20eb900015718ad.jpg,622b0ca4d3521e35f4014322,乐空间（北京）,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1719577800000,1719583200000,"{'yuanNum': '88', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1719577800000,['20240628'],False,1,4
SHOW,6620e914413808000138e714,6620e72f41380800013872fb,【北京】《饿狼传说-致敬港乐金曲演唱会》,2024.06.16 19:30,北京,1101,ONSALE,58.0,https://cdn.ticketmars.com/image/prod/20240418_63/17134324491866002.jpg,57de45a40cf2d8fd4db321d4,红剧场,"{'code': 17, 'displayName': '演唱会', 'name': 'YanChangHui'}",False,1718537400000,1718543400000,"{'yuanNum': '58', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1718537400000,['20240616'],False,1,11
SHOW,66221013129e710001f46b81,66221012bad0e70001a53f4f,【郑州】昨日的聚会——惘闻25周年 巡演 郑州站,2024.06.21 20:30,郑州,4101,ONSALE,160.0,https://cdn.ticketmars.com/prod/external/img/20240419/662210129eb2a4000143c043.jpg,60e81d0d83a7d7073ee0986a,7LIVEHOUSE+,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1718973000000,1718980200000,"{'yuanNum': '160', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1718973000000,['20240621'],False,1,3
SHOW,663efcd9c3a5ce000162c20e,663efc9445dc480001a059e0,【北京】5.25 「Wonderland Travel Trio」奇境旅行三重奏,2024.05.25 20:00,北京,1101,ONSALE,180.0,https://cdn.ticketmars.com/image/prod/20240511_21/17154039419513278.jpg,585a2ab60cf2477fb36e1f96,Blue Note Beijing,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1716638400000,1716643800000,"{'yuanNum': '180', 'centNum': '', 'suffix': '', 'prefix': '￥'}",1716638400000,['20240525'],False,1,1
SHOW,661f3f7c4138080001f3b604,661f3cf7129e7100018a0168,【郑州】英国 UKEBOX 尤克里里乐队 2024巡演-郑州站,2024.06.06 20:00,郑州,4101,ONSALE,168.0,https://cdn.ticketmars.com/image/prod/20240417_63/17133233383588112.jpg,60e81d0d83a7d7073ee0986a,7LIVEHOUSE+,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1717675200000,1717680600000,"{'yuanNum': '168', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1717675200000,['20240606'],False,1,3
SHOW,660ac598fceb5b000134f389,660ac59778cb9e0001e9198e,【长春】齐一《生活万岁》2024巡演 长春站,2024.06.08 19:30,长春,2201,ONSALE,138.0,https://cdn.ticketmars.com/prod/external/img/20240401/660ac59713dbca0001488125.jpg,5c874963908c38729559b49b,音浪livehouse,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1717846200000,1717853400000,"{'yuanNum': '138', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1717846200000,['20240608'],False,1,3
